Id,MSSubClass,MSZoning,LotFrontage,Alley,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,SalePrice,LotArea2,TotalBsmtSF2,GrLivArea2,MasVnrArea2,GarageArea2,TotalSF,TotalBath,LivingAreaQuality,TotalOutdoorArea,OverallScore,TotalArea,OverallQualCond,BedBathRatio,LotFrontageToLotAreaRatio,LivingAreaToTotalAreaRatio,LogTotalArea,ExteriorComposite,BasementScore,NeighborhoodHouseStyle,SeasonSold,AgeAtSale,YearsSinceRemodel,YearsSinceOutdoorAddition,AgeAtSaleTotalArea
1,60,3,65.0,0.0,3,3,4,5,2,2,0,5,7.0,5,1,1,12,13,1,196.0,3,2,2,4.0,3.0,1.0,6.0,706,1.0,0,150,1,4,1,4,1710,3,3,8,0,0.0,1,2003.0,2.0,2,548,3.0,3.0,2,0,61,0,0,0.0,0.0,-1,8,4,208500,0.0015047361542123675,732736,2924100,38416.0,300304,2566,3.5,11970.0,61,35.0,3114,35.0,0.8571428571428571,0.007691397467755295,0.5489566613162119,8.043984431221553,25,13.0,5_5,1,5,5,5,15570
2,20,3,80.0,0.0,3,3,2,24,1,2,0,2,6.0,8,1,1,8,8,-1,0.0,2,2,1,4.0,3.0,4.0,5.0,978,1.0,0,284,1,4,1,4,1262,3,2,6,1,3.0,1,1976.0,2.0,2,460,3.0,3.0,2,298,0,0,0,0.0,0.0,-1,8,4,181500,0.0019527843625116428,1592644,1592644,0.0,211600,2524,2.5,7572.0,298,48.0,2984,48.0,1.0,0.008332465368190814,0.42278056951423787,8.001355025826703,16,12.0,24_2,2,31,31,31,92504
3,60,3,68.0,0.0,2,3,4,5,2,2,0,5,7.0,5,1,1,12,13,1,162.0,3,2,2,4.0,3.0,2.0,6.0,486,1.0,0,434,1,4,1,4,1786,3,3,6,1,3.0,1,2001.0,2.0,2,608,3.0,3.0,2,0,42,0,0,0.0,0.0,-1,8,4,223500,0.0026953582989691065,846400,3189796,26244.0,369664,2706,3.5,12502.0,42,35.0,3314,35.0,0.8571428571428571,0.006043907208248156,0.538763197586727,8.106212902619962,25,13.0,5_5,4,7,6,7,23198
4,70,3,60.0,0.0,2,3,0,6,2,2,0,5,7.0,5,1,1,13,15,-1,0.0,2,2,0,3.0,4.0,1.0,5.0,216,1.0,0,540,1,3,1,4,1717,3,3,7,1,4.0,5,1998.0,1.0,3,642,3.0,3.0,2,0,35,272,0,0.0,0.0,-1,8,0,140000,0.0019321168370655844,571536,2948089,0.0,412164,2473,2.0,12019.0,307,35.0,3115,35.0,1.5,0.0062820647052664646,0.5510269576379975,8.044305406990638,28,12.0,6_5,1,91,36,91,283465
5,60,3,84.0,0.0,2,3,2,15,2,2,0,5,8.0,5,1,1,12,13,1,350.0,3,2,2,4.0,3.0,3.0,6.0,655,1.0,0,490,1,4,1,4,2198,4,3,9,1,3.0,1,2000.0,2.0,3,836,3.0,3.0,2,192,84,0,0,0.0,0.0,-1,8,4,250000,0.004352755696491962,1311025,4831204,122500.0,698896,3343,3.5,17584.0,276,40.0,4179,40.0,1.1428571428571428,0.005890190028749737,0.5258373205741627,8.338066525518801,25,13.0,15_5,1,8,8,8,33432
6,50,3,85.0,0.0,2,3,4,11,2,2,0,0,5.0,5,1,1,12,13,-1,0.0,2,2,5,4.0,3.0,1.0,6.0,732,1.0,0,64,1,4,1,4,1362,1,2,5,0,0.0,1,1993.0,1.0,2,480,3.0,3.0,2,40,30,0,0,0.0,3.0,2,8,4,143000,0.004263947393612457,633616,1855044,0.0,230400,2158,2.5,6810.0,390,25.0,2638,25.0,0.4,0.0060215358458486825,0.5161045850701023,7.878155336503324,25,13.0,11_0,4,16,14,16,42208
7,20,3,75.0,0.0,3,3,4,21,2,2,0,2,8.0,5,1,1,12,13,2,186.0,3,2,2,5.0,3.0,3.0,6.0,1369,1.0,0,317,1,4,1,4,1694,3,3,7,1,4.0,1,2004.0,2.0,2,636,3.0,3.0,2,255,57,0,0,0.0,0.0,-1,8,4,307000,0.002158424751342998,2842596,2869636,34596.0,404496,3380,3.0,13552.0,312,40.0,4016,40.0,1.0,0.0074367873078829945,0.42170774209609163,8.298290634359283,25,14.0,21_2,3,3,2,3,12048
8,60,3,0.0,0.0,2,3,0,14,4,2,0,5,7.0,6,1,1,6,6,2,240.0,2,2,1,4.0,3.0,2.0,5.0,859,4.0,32,216,1,4,1,4,2090,3,2,7,2,3.0,1,1973.0,2.0,2,484,3.0,3.0,2,235,204,228,0,0.0,0.0,2,8,4,200000,0.0022900681033870196,1225449,4368100,57600.0,234256,3197,3.5,14630.0,667,42.0,3681,42.0,0.8571428571428571,0.0,0.5676262900597502,8.211211361793023,12,12.0,14_5,4,36,36,36,132516
9,50,4,51.0,0.0,3,3,4,17,0,2,0,0,7.0,5,1,1,3,15,-1,0.0,2,2,0,3.0,3.0,1.0,1.0,0,1.0,0,952,1,3,1,1,1774,2,2,8,2,3.0,5,1931.0,1.0,2,468,2.0,3.0,2,90,0,205,0,0.0,0.0,-1,8,0,129900,0.0007719703885775549,906304,3147076,0.0,219024,2726,2.0,12418.0,295,35.0,3194,35.0,0.6666666666666666,0.008331971900016338,0.5552425665101721,8.069342366811636,18,7.0,17_0,2,77,58,77,245938
10,190,3,50.0,0.0,3,3,0,3,0,0,1,1,5.0,6,1,1,8,8,-1,0.0,2,2,0,3.0,3.0,1.0,6.0,851,1.0,0,140,1,4,1,4,1077,2,2,5,2,3.0,1,1939.0,2.0,1,205,4.0,3.0,2,0,4,0,0,0.0,0.0,-1,8,4,118000,0.00115190749865747,982081,1159929,0.0,42025,2068,2.0,5385.0,4,30.0,2273,30.0,1.0,0.006737636437137852,0.4736147757255937,7.729295674310482,16,12.0,3_1,1,69,58,69,156837
